Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
40,2025-02-17,171,SANIMA,Sanima Bank Limited,302.9,304,294.1,303.3,137788,41341714.8,297,382,228,2025-02-17T14:59:58.636421,303.3,419,300.03,41192.77
41,2025-02-17,177,RBCL,Rastriya Beema Company Limited,14549,14617,14413,14617,210,3053299,14450,22493.9,12800,2025-02-17T14:59:36.092407,14617,17,14539.51,38974.26
42,2025-02-17,179,HEI,Himalayan Everest Insurance Limited,650,660,641,650.1,26307,17139603,639,810,537.1,2025-02-17T14:59:50.72101,650.1,199,651.52,16253.52
43,2025-02-17,180,UAIL,United Ajod Insurance Limited,698.9,703,693,695,26898,18763752.9,695,837.3,514,2025-02-17T14:59:42.201995,695,234,697.58,14595
44,2025-02-17,184,PRIN,Prabhu Insurance Ltd.,996,1004,990,1002,9786,9772469.4,999,1113,705,2025-02-17T14:59:54.551234,1002,75,998.61,14443.71
45,2025-02-17,185,SALICO,Sagarmatha Lumbini Insurance Co. Limited,720,734.4,716,734.4,15272,11090405.4,720,926,602,2025-02-17T14:59:56.395527,734.4,115,726.19,19260.65
46,2025-02-17,187,NLIC,Nepal Life Insurance Co. Ltd.,725,728.5,712,724.5,31702,22930453.5,712.9,1060,566,2025-02-17T14:59:36.378164,724.5,300,723.31,65413.39
47,2025-02-17,194,NFS,Nepal Finance Ltd.,825,857.7,825,838,169128,142815020.3,809.8,2614.9,331,2025-02-17T14:59:58.558971,838,1956,844.41,7030.35
48,2025-02-17,204,GUFL,Gurkhas Finance Ltd.,682.3,682.3,640,655,51468,33992337.6,669,1041,548,2025-02-17T14:59:58.231889,655,422,660.45,5685.36
49,2025-02-17,210,CIT,Citizen Investment Trust,1975,1975,1952,1967,13186,25890742,1949,2700,1887,2025-02-17T14:59:52.959559,1967,244,1963.5,127495.29
50,2025-02-17,219,UNL,Unilever Nepal Limited,47500,47500,47000,47000,30,1415000,47000,56805.8,38300,2025-02-17T13:40:47.948639,47000,3,47166.66,43272.9
51,2025-02-17,227,BFC,Best Finance Company Ltd.,690,704,667,668,105352,71274107.5,694.8,951.6,310,2025-02-17T14:59:58.659783,668,870,676.53,5948.03
52,2025-02-17,232,GFCL,Goodwill Finance Limited,794,811,768.5,777,53584,42012098.2,794,1353,419,2025-02-17T14:59:59.808957,777,501,784.04,7351.32
53,2025-02-17,235,HDL,Himalayan Distillery Limited,1187,1200,1187,1191,28262,33728758.4,1187,1749,1136,2025-02-17T14:59:56.890691,1191,452,1193.43,36604.22
54,2025-02-17,238,NMB,NMB Bank Limited,248,251.9,242.4,250.2,106444,26353062.6,245,300,162,2025-02-17T14:59:58.251238,250.2,406,247.57,45953.5
55,2025-02-17,244,SIFC,Shree Investment Finance Co. Ltd.,600,611.9,585.1,590,36517,21703594.3,600,795,336.2,2025-02-17T14:59:47.551626,590,386,594.34,5900
56,2025-02-17,245,CFCL,Central Finance Co. Ltd.,670.1,670.1,625,627,141176,89945318.5,657,820,318,2025-02-17T14:59:55.49612,627,895,637.11,5949.45
57,2025-02-17,256,SFCL,Samriddhi Finance Company Limited,650.7,660,615.8,622,74311,46888440.02,638,1117.9,293,2025-02-17T14:59:59.032042,622,579,630.97,5093.63
58,2025-02-17,268,SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,921.7,921.7,903.3,916,24640,22473585.3,907,1232,670,2025-02-17T14:59:52.309552,916,185,912.07,15174.68
59,2025-02-17,273,ICFC,ICFC Finance Limited,698,700,674.6,676,41057,28009173.4,685.5,910,462,2025-02-17T14:59:59.283597,676,376,682.2,8000.26
60,2025-02-17,274,EDBL,Excel Development Bank Ltd.,777,838.2,760,838.2,170849,133272812.5,762,838.2,334.5,2025-02-17T14:59:59.668233,838.2,628,780.06,10474.94
61,2025-02-17,307,NTC,Nepal Doorsanchar Company Limited,898.9,901,885,897,18497,16546112.2,885,1214,800,2025-02-17T14:59:48.961216,897,253,894.52,161460
62,2025-02-17,348,CZBIL,Citizens Bank International Limited,210.5,216.8,210,215.5,78977,16897512.6,209.5,296,152.5,2025-02-17T14:59:58.71927,215.5,327,213.95,31827.22
63,2025-02-17,357,PCBL,Prime Commercial Bank Ltd.,246.2,255,245,253,100293,25045557.2,245.9,329,186,2025-02-17T14:59:51.913153,253,428,249.72,49088.52
64,2025-02-17,358,LBBL,Lumbini Bikas Bank Ltd.,459,459,432.2,455,42004,19015969.8,450,560,361,2025-02-17T14:59:59.133147,455,137,452.71,16487.74
65,2025-02-17,371,MDB,Miteri Development Bank Limited,733.3,745,721,726.4,109940,80883850.9,719,843.5,375,2025-02-17T14:59:54.329452,726.4,481,735.7,8841.01
66,2025-02-17,385,ALICL,Asian Life Insurance Co. Limited,755,775,755,773,31171,24019572.6,770,825,523,2025-02-17T14:59:59.628566,773,186,770.57,26280.74
67,2025-02-17,396,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,718.9,725,710,712,22959,16516643.1,706,988,504.5,2025-02-17T14:59:45.633384,712,221,719.39,9952.08
68,2025-02-17,401,MLBL,Mahalaxmi Bikas Bank Ltd.,415,420.5,407.2,419,99556,41127104.4,413,498,308,2025-02-17T14:59:46.841002,419,324,413.1,18002.16
69,2025-02-17,417,GBBL,Garima Bikas Bank Limited,400,400,394.1,397.2,40882,16267192.1,396,531.4,350,2025-02-17T14:59:54.984269,397.2,205,397.9,22563.02
70,2025-02-17,450,CORBL,Corporate Development Bank Limited,1990.4,2080,1990.4,2079,15738,32344448.1,2031,2842.3,393.9,2025-02-17T14:59:59.757191,2079,219,2055.18,10914.75
71,2025-02-17,459,KSBBL,Kamana Sewa Bikas Bank Limited,455,455,449,454,65239,29487162.7,450.9,564.8,330,2025-02-17T14:59:56.045309,454,226,451.98,15939.24
72,2025-02-17,469,NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,151.1,158,151.1,156,1141,176494.1,152.1,222,122.8,2025-02-17T14:58:19.201105,156,10,154.68,28559.76
73,2025-02-17,471,MPFL,Multipurpose Finance Company  Limited,760.2,760.2,723,725,60841,44541785.9,746,936.9,328,2025-02-17T14:59:58.50462,725,451,732.1,4423.95
74,2025-02-17,474,MNBBL,Muktinath Bikas Bank Ltd.,373,376.7,372.2,375.1,64615,24181465.2,373,482,332.4,2025-02-17T14:59:56.103983,375.1,319,374.23,26433.07
75,2025-02-17,544,PCBLP,Prime Commercial Bank Promoter Share,105.2,105.2,105.2,105.2,12521,1317209.2,105.2,144,101.6,2025-02-17T13:32:49.357607,105.2,1,105.2,42.08
76,2025-02-17,559,NLG,NLG Insurance Company Ltd.,1014.9,1065.7,970,1027,41063,41633812.1,995,1382,715.3,2025-02-17T14:59:52.235601,1027,287,1013.9,25702.42
77,2025-02-17,574,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,833,849.9,817,830,18403,15320025.3,817,1105,789,2025-02-17T14:59:31.151207,830,183,832.47,35794.76
